PlayersName,PlayersRole,Team
Maninder Singh,Raider,Bengal Warriors
K. Prapanjan,Raider,Bengal Warriors
Mohammad Taghi Paein Mahali,Raider,Bengal Warriors
Rakesh Narwal,Raider,Bengal Warriors
Ravindra Ramesh Kumawat,Raider,Bengal Warriors
Sukesh Hegde,Raider,Bengal Warriors
Naveen Narwal,"Defender, right cover",Bengal Warriors
Amit ,"Defender, right corner",Bengal Warriors
Baldev Singh,"Defender, right corner",Bengal Warriors
Jeeva Kumar,"Defender, right and left cover",Bengal Warriors
Viraj Vishnu Landge,"Defender, left cover",Bengal Warriors
Adarsh T,"Defender, left corner",Bengal Warriors
Dharmendra Singh,"Defender, left corner",Bengal Warriors
Rinku Narwal,Defender,Bengal Warriors
Amir Santosh Dhumal,All Rounder,Bengal Warriors
Avinash A. R.,All Rounder,Bengal Warriors
Mohammad Esmaeil Nabibakhsh,All Rounder,Bengal Warriors
Mayur Shivtarkar,All Rounder,Bengal Warriors
Sourabh Tanaji Patil,All Rounder,Bengal Warriors
Sunil Manik Dubile,All Rounder,Bengal Warriors
Rohit Kumar,Raider,Bengaluru Bulls
Banty ,Raider,Bengaluru Bulls
Lal Mohar Yadav,Raider,Bengaluru Bulls
Pawan Kumar Sehrawat,Raider,Bengaluru Bulls
Sumit Singh,Raider,Bengaluru Bulls
Vinod Kumar,Raider,Bengaluru Bulls
Mohit Sehrawat,"Defender, right cover",Bengaluru Bulls
Raju Lal Choudhary,"Defender, right corner",Bengaluru Bulls
Vijay Kumar,"Defender, right corner",Bengaluru Bulls
Mahender Singh,"Defender, left cover",Bengaluru Bulls
Aman ,"Defender, left corner",Bengaluru Bulls
Sandeep ,"Defender, left corner",Bengaluru Bulls
Saurabh Nandal,"Defender, left corner",Bengaluru Bulls
Ajay ,Defender,Bengaluru Bulls
Amit Sheoran,Defender,Bengaluru Bulls
Ankit ,Defender,Bengaluru Bulls
Ashish Kumar,All Rounder,Bengaluru Bulls
Sanjay Shrestha,All Rounder,Bengaluru Bulls
Joginder Singh Narwal,"Defender, left corner",Dabang Delhi K.C.
Aman Kadian,Raider,Dabang Delhi K.C.
Chandran Ranjit,Raider,Dabang Delhi K.C.
Naveen Kumar,Raider,Dabang Delhi K.C.
Neeraj Narwal,Raider,Dabang Delhi K.C.
Sumit Kumar,Raider,Dabang Delhi K.C.
Mohit ,"Defender, right cover",Dabang Delhi K.C.
Vishal Mane,"Defender, right cover",Dabang Delhi K.C.
Pratik Patil,"Defender, right corner",Dabang Delhi K.C.
Ravinder Pahal,"Defender, right corner",Dabang Delhi K.C.
Anil Kumar,"Defender, left cover",Dabang Delhi K.C.
Saeid Ghaffari,"Defender, left cover",Dabang Delhi K.C.
Satywan ,"Defender, left cover",Dabang Delhi K.C.
Sumit ,"Defender, left cover",Dabang Delhi K.C.
Sombir ,Defender,Dabang Delhi K.C.
Balram ,All Rounder,Dabang Delhi K.C.
Meraj Sheykh,All Rounder,Dabang Delhi K.C.
Vijay ,All Rounder,Dabang Delhi K.C.
Rohit Gulia,All Rounder,Gujarat Fortunegiants
Abolfazl Maghsodloumahali,Raider,Gujarat Fortunegiants
Gurvinder Singh,Raider,Gujarat Fortunegiants
Harmanjit Singh,Raider,Gujarat Fortunegiants
Lalit Chaudhary,Raider,Gujarat Fortunegiants
More GB,Raider,Gujarat Fortunegiants
Sachin Tanwar,Raider,Gujarat Fortunegiants
Sonu Jaglan,Raider,Gujarat Fortunegiants
Amit Kharb,"Defender, right cover",Gujarat Fortunegiants
Ankit ,"Defender, right corner",Gujarat Fortunegiants
Parvesh Bhainswal,"Defender, left cover",Gujarat Fortunegiants
Sumit Malik,"Defender, left corner",Gujarat Fortunegiants
Ruturaj Shivaji Koravi,Defender,Gujarat Fortunegiants
Sunil Kumar,Defender,Gujarat Fortunegiants
Pankaj ,All Rounder,Gujarat Fortunegiants
Mohammad Shazid Hossain,All Rounder,Gujarat Fortunegiants
Vinod Kumar,All Rounder,Gujarat Fortunegiants
Dharmaraj Cheralathan,"Defender, right and left corner",Haryana Steelers
Amirhossein Mohammad Maleki,Raider,Haryana Steelers
Arun Kumar HN,Raider,Haryana Steelers
Naveen ,Raider,Haryana Steelers
Prashanth Kumar Rai,Raider,Haryana Steelers
Selvamani K,Raider,Haryana Steelers
Vikas Chhillar,Raider,Haryana Steelers
Vikash Kandola,Raider,Haryana Steelers
Vinay ,Raider,Haryana Steelers
Ravi Kumar,"Defender, right cover",Haryana Steelers
Vikas Kale,"Defender, right cover",Haryana Steelers
Sunil ,"Defender, right corner",Haryana Steelers
Parveen ,"Defender, left cover",Haryana Steelers
Subhash Narwal,"Defender, left cover",Haryana Steelers
Vikram Kandola,"Defender, left cover",Haryana Steelers
Chand Singh,"Defender, left corner",Haryana Steelers
Kuldeep Singh,Defender,Haryana Steelers
Tin Phonchoo,All Rounder,Haryana Steelers
Deepak Niwas Hooda,All Rounder,Jaipur Pink Panthers
Ajinkya Ashok Pawar,Raider,Jaipur Pink Panthers
Deepak Narwal,Raider,Jaipur Pink Panthers
Guman Singh,Raider,Jaipur Pink Panthers
Lokesh Kaushik,Raider,Jaipur Pink Panthers
Milinda Chathuranga,Raider,Jaipur Pink Panthers
Nilesh Salunke,Raider,Jaipur Pink Panthers
Sushil Gulia,Raider,Jaipur Pink Panthers
Pavan T. R.,"Defender, right cover",Jaipur Pink Panthers
Amit Hooda,"Defender, right corner",Jaipur Pink Panthers
Elavarasan A,"Defender, left cover",Jaipur Pink Panthers
Karamvir ,"Defender, left corner",Jaipur Pink Panthers
Sandeep Kumar Dhull,"Defender, left corner",Jaipur Pink Panthers
Sunil Siddhgavali,Defender,Jaipur Pink Panthers
Dong Gyu Kim,All Rounder,Jaipur Pink Panthers
Nitin Rawal,All Rounder,Jaipur Pink Panthers
Sachin Narwal,All Rounder,Jaipur Pink Panthers
Santhapanaselvam ,All Rounder,Jaipur Pink Panthers
Vishal ,All Rounder,Jaipur Pink Panthers
Pardeep Narwal,Raider,Patna Pirates
Ashish ,Raider,Patna Pirates
Jang Kun Lee,Raider,Patna Pirates
Mohammad Esmaeil Maghsoudlou Mahalli,Raider,Patna Pirates
Mohit ,Raider,Patna Pirates
Monu ,Raider,Patna Pirates
Naveen ,Raider,Patna Pirates
Purna Singh,Raider,Patna Pirates
Rajveersinh Pratap Rao Chavan,Raider,Patna Pirates
Mahendra Choudhary,"Defender, right corner",Patna Pirates
Neeraj Kumar,"Defender, right corner",Patna Pirates
Jaideep ,"Defender, left corner",Patna Pirates
Jawahar Dagar,Defender,Patna Pirates
Amit Kumar,All Rounder,Patna Pirates
Hadi Oshtorak,All Rounder,Patna Pirates
Ravinder ,All Rounder,Patna Pirates
Sahil Mann,All Rounder,Patna Pirates
Vikas Jaglan,All Rounder,Patna Pirates
PO Surjeet Singh,"Defender, right cover",Puneri Paltan
Amit Kumar,Raider,Puneri Paltan
Darshan Kadian,Raider,Puneri Paltan
Emad Sedaghatnia,Raider,Puneri Paltan
Manjeet ,Raider,Puneri Paltan
Nitin Tomar,Raider,Puneri Paltan
Pankaj Mohite,Raider,Puneri Paltan
Pawan Kumar Kadian,Raider,Puneri Paltan
R. Sriram,Raider,Puneri Paltan
Sushant Sail,Raider,Puneri Paltan
Deepak Yadav,"Defender, right cover",Puneri Paltan
Jadhav Balasaheb Shahaji,"Defender, right cover",Puneri Paltan
Hadi Tajik,"Defender, right corner",Puneri Paltan
Shubham Shinde,"Defender, right corner",Puneri Paltan
Sanket Sawant,"Defender, left cover",Puneri Paltan
Girish Maruti Ernak,"Defender, left corner",Puneri Paltan
Amit Kumar,All Rounder,Puneri Paltan
Sagar B Krishna,All Rounder,Puneri Paltan
Sandeep ,All Rounder,Puneri Paltan
Ajay Thakur,Raider,Tamil Thalaivas
Anand ,Raider,Tamil Thalaivas
Rahul Chaudhari,Raider,Tamil Thalaivas
Shabeer Bappu,Raider,Tamil Thalaivas
V. Ajith Kumar,Raider,Tamil Thalaivas
Vineet Sharma,Raider,Tamil Thalaivas
Yashwant Bishnoi,Raider,Tamil Thalaivas
Ajeet ,"Defender, right cover",Tamil Thalaivas
M. Abishek,"Defender, right cover",Tamil Thalaivas
Ponparthiban Subramanian,"Defender, right cover",Tamil Thalaivas
Himanshu ,"Defender, right corner",Tamil Thalaivas
Mohit Chhillar,"Defender, right corner",Tamil Thalaivas
Sagar ,"Defender, right corner",Tamil Thalaivas
Mohammad Arif Robbani,"Defender, left corner",Tamil Thalaivas
Hemant Chauhan,All Rounder,Tamil Thalaivas
Manjeet Chhillar,All Rounder,Tamil Thalaivas
Ran Singh,All Rounder,Tamil Thalaivas
Victor Onyango Obiero,All Rounder,Tamil Thalaivas
Abozar Mohajermighani,Defender,Telugu Titans
Amit Kumar,Raider,Telugu Titans
Ankit Beniwal,Raider,Telugu Titans
Kamal Singh,Raider,Telugu Titans
Mula Siva Ganesh Reddy,Raider,Telugu Titans
Palle Mallikarjun,Raider,Telugu Titans
Rajnish ,Raider,Telugu Titans
Rakesh Gowda,Raider,Telugu Titans
Siddharth Sirish Desai,Raider,Telugu Titans
Suraj Desai,Raider,Telugu Titans
Aakash Dattu Arsul,"Defender, right cover",Telugu Titans
Akash Choudhary,"Defender, right corner",Telugu Titans
Manish ,"Defender, left cover",Telugu Titans
C. Arun,"Defender, left corner",Telugu Titans
Krushna Madane,Defender,Telugu Titans
Vishal Bhardwaj,Defender,Telugu Titans
Armaan ,All Rounder,Telugu Titans
Farhad Rahimi Milaghardan,All Rounder,Telugu Titans
Fazel Atrachali,"Defender, left corner",U Mumba
Abhishek Singh,Raider,U Mumba
Arjun Deshwal,Raider,U Mumba
Athul MS,Raider,U Mumba
Dong Geon Lee,Raider,U Mumba
Gaurav Kumar,Raider,U Mumba
Navneet ,Raider,U Mumba
Rohit Baliyan,Raider,U Mumba
Vinoth Kumar,Raider,U Mumba
Rajaguru Subramanian,"Defender, right cover",U Mumba
Harsh Vardhan,"Defender, right corner",U Mumba
Anil ,"Defender, left cover",U Mumba
Harendra Kumar,"Defender, left cover",U Mumba
Young Chang Ko,"Defender, left cover",U Mumba
Surinder Singh,Defender,U Mumba
Ajinkya Rohidas Kapre,All Rounder,U Mumba
Mohit Balyan,All Rounder,U Mumba
Sandeep Narwal,All Rounder,U Mumba
Nitesh Kumar,"Defender, right corner",U.P. Yoddha
Ankush ,Raider,U.P. Yoddha
Azad Singh,Raider,U.P. Yoddha
Gulveer Singh,Raider,U.P. Yoddha
Md. Masud Karim,Raider,U.P. Yoddha
Monu Goyat,Raider,U.P. Yoddha
Rishank Devadiga,Raider,U.P. Yoddha
Shrikant Jadhav,Raider,U.P. Yoddha
Surender Gill,Raider,U.P. Yoddha
Surender Singh,Raider,U.P. Yoddha
Ashu Singh,"Defender, right cover",U.P. Yoddha
Aashish Nagar,"Defender, right corner",U.P. Yoddha
Amit ,"Defender, left cover",U.P. Yoddha
Sumit ,"Defender, left corner",U.P. Yoddha
Arkam Shaikh,All Rounder,U.P. Yoddha
Gurdeep ,All Rounder,U.P. Yoddha
Mohsen Maghsoudloujafari,All Rounder,U.P. Yoddha
Narender ,All Rounder,U.P. Yoddha
Sachin Kumar,All Rounder,U.P. Yoddha
